2.688925862312316895e-01,1.340396404266357422e-01
2.668516337871551514e-01,1.323717534542083463e-01
2.398705631494521817e-01,1.163789331912994524e-01
2.344207465648651401e-01,1.127849966287612776e-01
2.143316417932510376e-01,9.960490465164183183e-02
2.279421091079711914e-01,1.075127348303795000e-01
2.478452324867248258e-01,1.197970062494278093e-01
2.401083558797836304e-01,1.149839982390403609e-01
2.512387037277221680e-01,1.216885596513748030e-01
2.495920062065124234e-01,1.209261491894721985e-01
2.415017187595367432e-01,1.162015125155448775e-01
2.150090932846069336e-01,9.985354542732238770e-02
2.111670821905136108e-01,9.704390913248063522e-02
2.236446738243103305e-01,1.044701114296913286e-01
2.224647551774978638e-01,1.037380620837211470e-01
2.049474269151687900e-01,9.266818314790722932e-02
2.002831697463988703e-01,8.792365342378616333e-02
2.064607590436935702e-01,9.091342985630035400e-02
2.130629271268844882e-01,9.796325117349623246e-02
2.250417917966842374e-01,1.052118912339210371e-01
2.210850417613983154e-01,1.028072461485862593e-01
2.075184583663940707e-01,9.335188567638397217e-02
2.203157544136047641e-01,1.034921482205390653e-01
2.167282104492187778e-01,1.006492599844932417e-01
2.209616303443908969e-01,1.041483059525489807e-01
2.154621481895446777e-01,1.024793162941932678e-01
2.163527160882949552e-01,1.030380651354789595e-01
2.178320139646530151e-01,1.052294149994849881e-01
2.298385351896286288e-01,1.131301075220108032e-01
2.227534204721451083e-01,1.092062592506408830e-01
2.201345264911651889e-01,1.079249456524848799e-01
2.141591310501098355e-01,1.068062558770179610e-01
2.183717638254165649e-01,1.095407679677009721e-01
2.482909411191940585e-01,1.312921494245529452e-01
2.464053630828857422e-01,1.292464286088943481e-01
2.395553737878799994e-01,1.267389655113220215e-01
2.410773187875747958e-01,1.279768049716949463e-01
2.408150285482406339e-01,1.278488934040069580e-01
2.414191812276839932e-01,1.282588690519332886e-01
2.217598408460617065e-01,1.161904633045196533e-01
2.175249606370925626e-01,1.140849068760871887e-01
2.117383182048797330e-01,1.120039597153663774e-01
2.330646961927413663e-01,1.262575238943099976e-01
2.354689836502075473e-01,1.244136467576026917e-01
2.465734630823135654e-01,1.315594464540481567e-01
2.374085783958435336e-01,1.256143599748611450e-01
2.360045313835144321e-01,1.253483444452285767e-01
2.277036309242248258e-01,1.208605766296386858e-01
2.089107334613800049e-01,1.090308949351310730e-01
2.076721042394638062e-01,1.083879545331001282e-01
1.933465898036956787e-01,9.999009966850279374e-02
1.940090656280517023e-01,1.004071757197379927e-01
1.796790063381194791e-01,9.114895761013032394e-02
1.789089292287826538e-01,9.050041437149049239e-02
1.770984828472137174e-01,8.861051499843596024e-02
1.695368289947509766e-01,8.157875388860702515e-02
1.709835976362228394e-01,8.127781748771667480e-02
1.791959404945373535e-01,8.542466163635253906e-02
1.956066936254501065e-01,9.911843389272688432e-02
1.993426233530044278e-01,1.007093265652656416e-01
1.932381540536880493e-01,9.511835873126983643e-02
1.986017823219299594e-01,9.793839603662489457e-02
2.049623578786849420e-01,1.014761179685592513e-01
2.055523097515106479e-01,1.017914265394210815e-01
1.997632533311843872e-01,9.901884198188781738e-02
1.921457350254059115e-01,9.457809478044508500e-02
2.051973193883896152e-01,1.033048480749130249e-01
1.958913505077361783e-01,9.708908945322035355e-02
1.783048510551452359e-01,8.543209731578828292e-02
1.884531229734420776e-01,9.118510037660598755e-02
1.906989514827727994e-01,9.260533750057217683e-02
1.697029918432235440e-01,7.923335582017895784e-02
1.877692788839339932e-01,8.934199064970015092e-02
2.142499983310699463e-01,1.049154847860336442e-01
1.878165006637572965e-01,9.369555860757827759e-02
1.662980467081069946e-01,7.901832461357118087e-02
1.739463210105895996e-01,8.300703018903730912e-02
1.588145196437835416e-01,7.344835251569747925e-02
1.785189956426620483e-01,8.247083425521849198e-02
1.769562959671020508e-01,8.149988204240800338e-02
1.870825290679932196e-01,8.814521133899687333e-02
1.827980428934096735e-01,8.560442179441453414e-02
1.784496605396270474e-01,8.534074574708938599e-02
1.831488907337188998e-01,8.955525606870651245e-02
1.861414164304732721e-01,9.314142167568205399e-02
1.891011297702789029e-01,9.434758871793748336e-02
1.893806159496307373e-01,9.384268522262573242e-02
1.976513415575027466e-01,9.899184852838514848e-02
2.052252292633056641e-01,1.036801263689994812e-01
1.851159930229187012e-01,9.042041003704072433e-02
2.095195949077606479e-01,1.043334379792213440e-01
2.000299692153930109e-01,9.749107807874680953e-02
2.361410260200500211e-01,1.133500784635543823e-01
2.491500526666640403e-01,1.234144419431686401e-01
2.527607381343841553e-01,1.289294958114624023e-01
2.795498371124267578e-01,1.516844928264617920e-01
2.570569217205047607e-01,1.392323076725006104e-01
2.457559853792190552e-01,1.316584944725036621e-01
2.416614145040512085e-01,1.287805736064910889e-01
2.423840463161468506e-01,1.293530464172363281e-01
2.476493716239928922e-01,1.329889893531799316e-01
2.169413715600967685e-01,1.148192360997200012e-01
2.112036347389220914e-01,1.080708876252174377e-01
2.181428372859954834e-01,1.250150054693222046e-01
2.091445773839950284e-01,1.168302819132804871e-01
1.991842985153198242e-01,1.098295003175735335e-01
2.012736499309539795e-01,1.117693409323692599e-01
1.972150504589081088e-01,1.099809855222702026e-01
1.837713867425918579e-01,1.017584651708602905e-01
1.828319877386092862e-01,1.012112870812415938e-01
1.770249903202056885e-01,9.810817241668699784e-02
1.668405830860137939e-01,9.279695153236387772e-02
1.654949039220809937e-01,9.133080393075942993e-02
1.957792341709136685e-01,1.059226840734481812e-01
2.036557942628860474e-01,1.081184223294257979e-01
2.184514701366424283e-01,1.149825900793075423e-01
